"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-01","0.4",",,W",,,"6.9",",,W,2400",,,"27.2",",,W","18.3",",,W",,,"3.1",",,W","6.7",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-02","1.7",",,W",,,"2.0",",,W,2400",,,"30.6",",,W","18.9",",,W",,,"6.3",",,W","10.3",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-03","2.6",",,W",,,"6.4",",,W,2400",,,"18.9",",,W","10.6",",,W",,,"6.3",",,W","10.3",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-04","1.7",",,W",,,"4.1",",,W,2400",,,"21.7",",,W","10.6",",,W",,,"5.4",",,W","8.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-05","1.7",",,W",,,"0.0","T,,W,2400",,,"23.9",",,W","14.4",",,W",,,"6.7",",,W","11.2",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-06","1.2",",,W",,,"0.0",",,W,2400",,,"21.7",",,W","14.4",",,W",,,"3.6",",,W","5.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-07","1.1",",,W",,,"0.0",",,W,2400",,,"21.7",",,W","15.6",",,W",,,"4.0",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-08","1.3",",,W",,,"0.0",",,W,2400",,,"27.8",",,W","15.6",",,W",,,"4.0",",,W","7.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-09","0.8",",,W",,,"0.0",",,W,2400",,,"28.3",",,W","19.4",",,W",,,"3.6",",,W","6.7",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-10","0.5",",,W",,,"0.3",",,W,2400",,,"22.8",",,W","14.4",",,W",,,"4.0",",,W","7.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-11","1.4",",,W",,,"0.0",",,W,2400",,,"22.8",",,W","14.4",",,W",,,"4.0",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-12","1.5",",,W",,,"0.0",",,W,2400",,,"23.9",",,W","13.9",",,W",,,"4.5",",,W","8.5",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-13","1.6",",,W",,,"1.0",",,W,2400",,,"25.6",",,W","17.2",",,W",,,"5.4",",,W","8.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-14","3.1",",,W",,,"0.0","T,,W,2400",,,"28.9",",,W","19.4",",,W",,,"6.7",",,W","12.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-15","1.4",",,W",,,"0.0",",,W,2400",,,"24.4",",,W","17.2",",,W",,,"5.8",",,W","8.9",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-16","1.0",",,W",,,"0.0",",,W,2400",,,"29.4",",,W","17.8",",,W",,,"3.6",",,W","5.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-17","0.8",",,W",,,"0.0",",,W,2400",,,"32.8",",,W","18.9",",,W",,,"4.0",",,W","7.6",",,W",,,,,,,,,,,,,,
